artist_name,track_name,release_date,genre,lyrics
The Uptowners,City Lights,1988,ska,"City lights are shining down, Ska beats echo all around, Black and white unite tonight, Dancing till the morning light. The Uptowners bring sophistication, To this skanking celebration, Urban rhythms clean and tight, Brightening up the darkest night. Skyscrapers reaching for the moon, Providing backdrop for our tune, Concrete jungles come alive, When these rhythms start to thrive. Traffic lights flash red to green, Creating patterns seldom seen, Stop and go but never slow, As through the city streets we flow. The downtown crowd dressed up so fine, Moving in perfect design, Two-tone suits and polished shoes, Dispelling all the urban blues. Neon signs illuminate the way, As night transforms into day, But still the music carries on, City lights our lexicon. The Uptowners know the secret sound, That makes this urban joy profound, When horns and rhythm synchronize, Under metropolitan skies."
Skank Factory,Assembly Line,2002,ska,"Moving like an assembly line, Synchronized and feeling fine, Production of the perfect beat, Gets all the people on their feet. The Skank Factory works through the night, Manufacturing rhythms tight, Quality control ensures the sound, Has the impact to astound. Workers unified in motion, Dedicated with devotion, Crafting beats with careful hands, Meeting all the world's demands. The conveyor belt of constant groove, Ensures our bodies always move, Each component plays its part, In this industrial work of art. Brass instruments the raw materials, Combined with drums for pure miracles, Guitar upstrokes provide the power, That makes the competition cower. The foreman calls for faster pace, As sweat forms on each dancing face, Quotas must be met tonight, Before the morning brings first light. When shipments leave the factory floor, Communities demand for more, Mass production of the ska, Distributed both near and far."
Brass Tacks,Get Down To It,1996,ska,"Getting down to brass tacks now, Gonna show you where and how, The rhythm's tight the horns are bright, We're gonna dance all through the night. No more time for idle chatter, Let's focus on what really matters, The essence of this driving beat, That gets us jumping to our feet. Brass Tacks cutting through the noise, Bringing pure unadulterated joys, Fundamental elements combined, Creating sounds one of a kind. The trumpet speaks the honest truth, Revealing secrets of wayward youth, Trombone slides between the lines, As saxophone emotionally whines. Getting down to what's essential, This rhythm's truly consequential, Stripping away unnecessary parts, Straight to the core of our hearts. The basic facts cannot be denied, This feeling cannot be defied, When Brass Tacks start to play their song, Everything else seems so wrong. So get down to it right away, Don't leave it for another day, The rhythm's here for you to take, A better time we'll never make."
The Suspenders,Hold It Up,2004,ska,"Hold it up with pride and style, Make the people dance and smile, Suspend the rules and break the mold, With rhythms new and stories old. The Suspenders keep things from falling, As the horns continue calling, Supporting structures that would fail, Without their presence to prevail. Elastic tension pulls and gives, Creating space where music lives, Flexibility in rhythm found, As dancing feet move off the ground. Traditional patterns held in place, While innovation sets the pace, The perfect balance struck tonight, Everything feeling just right. Hold it up don't let it drop, This momentum shouldn't stop, The pressure's on to maintain form, As the dance floor starts to storm. Braces securing what we need, Following wherever rhythms lead, Keeping everything contained, While freedom's simultaneously gained. The paradox of structure free, Is what The Suspenders guarantee, Supporting while encouraging flight, Throughout this wild skanking night."
Kingston Crew,Island Fever,1991,ska,"Island fever burning hot, Giving all we've got, Tropical rhythms in the air, Dancing without a care. Palm trees swaying in the breeze, As we dance with practiced ease, Kingston Crew brings island sounds, To wherever they're around. The heat rises from the ground, As authentic rhythms pound, Sweat dripping from our brow, But we won't stop dancing now. Jamaica calling through the years, Dispelling all our fears, Original ska from way back when, Brought to life once again. Island fever highly contagious, The symptoms quite outrageous, Uncontrollable need to skank, For which we give our thanks. The ocean waves keep perfect time, With rhythms so sublime, Caribbean spirit never fades, As afternoon turns to evening shades. Kingston calling loud and clear, The message we all need to hear, Unity through music found, As tropical beats surround. Island fever has no cure, The diagnosis always sure, But who would want recovery, From such musical discovery?"
Checkerboard Collective,Black And White,1999,ska,"Black and white together tight, Creating patterns in the night, Unity in rhythm found, When we're moving to this sound. The Checkerboard Collective stands, For equality across all lands, Different colors side by side, With nothing left to hide. Opposites attract they say, When we dance and play, Contrasting forces unified, As divisions are defied. The dance floor our level ground, Where solutions can be found, Social problems fade away, When the horns begin to play. Black and white both have their place, In this cooperative space, Neither one could stand alone, Together they make the perfect tone. The pattern spreads across the floor, Opening previously closed doors, Inviting everyone inside, No reason left to hide. Checkerboard vision seeing clear, The path that brings us near, To understanding differences embrace, Creates a more harmonious place. Black and white both equal parts, Of the rhythm in our hearts, Moving forward side by side, Taking this collective ride."
The Offbeats,Syncopated Soul,2006,ska,"My syncopated soul keeps time, With every beat and every rhyme, The offbeat is where I live, It's all I've got to give. Conventional patterns left behind, As we seek what we might find, In the spaces in between, Where most have never been. The Offbeats understand the gaps, Between the standard measured taps, Finding freedom in the pause, Breaking all the normal laws. Unexpected emphasis placed, Where others would have simply raced, Past the hidden opportunities, That standard timing never sees. My syncopated soul yearns for more, Than what came predictably before, Seeking new rhythmic frontiers, Throughout the passing years. When the world expects the one, The offbeat brings unexpected fun, Zigging where others would zag, Never letting spirits lag. The syncopation of our lives, Is how the human spirit thrives, Finding pathways seldom tread, Following where instinct led. So if your soul feels out of time, Remember that it's not a crime, To dance between the standard beats, Where true liberation meets."
Brass Knuckles,Fighting Chance,1994,ska,"Give me just one fighting chance, To make you listen make you dance, Brass section hits you like a punch, This is what we call ska crunch. Brass Knuckles don't fight with fists, But with a sound that can't be missed, Weapons of mass elation, Causing widespread celebration. The trumpet jabs straight to the ear, Making the message crystal clear, Trombone throws a powerful hook, Capturing attention like a book. Saxophone weaves and bobs with grace, Setting an unbeatable pace, The rhythm section holds its ground, Creating truly forceful sound. We're fighting for your heart tonight, With music that feels just right, No violence in our attack, Just forward motion never back. The battle happens on the floor, As dancers ask for more and more, Throwing themselves into the sound, As powerful rhythms surround. One fighting chance is all we need, To plant the musical ska seed, That grows within your beating heart, Until we're never torn apart."
The Porkpies,Hat Trick,2001,ska,"Three moves in the hat trick play, Skanking all night and through the day, Smooth style with a rudeboy lean, Sharpest outfit you've ever seen. The Porkpies represent the style, That makes the purists smile, Headwear tilted just so right, Under the club's dim light. First move comes with subtle grace, Perfect timing perfect pace, Drawing attention to the beat, As we take control of the street. Second maneuver ups the ante, Rhythm flowing fast and shanty, Trumpets blazing through the air, Creating moments beyond compare. The final move seals the deal, Making everyone feel, The powerful attraction, Of this three-part transaction. Hat trick complete the crowd goes wild, Sophistication reconciled, With passionate abandon core, Dancing harder than before. The Porkpies tilt their brims with pride, Taking everyone along for the ride, Three-part harmony three-part move, Finding the perfect groove. Traditional style with modern flair, Creating moments beyond compare, The hat trick never gets old, When done with precision so bold."
Rudie Can't Fail,Never Stop,1989,ska,"Rudie can't fail when the music's right, Skanking through the day and night, Never stop the upbeat sound, Passing rhythm all around. Determination in each step, A reputation well-kept, Moving forward without pause, Breaking through restrictive laws. When obstacles stand in the way, Rudie finds another way to play, Circumventing any wall, Answering the rhythm's call. Never stop is our command, As ska spreads across the land, Continuous motion through the years, Conquering all our fears. Rudie can't fail it's just a fact, When heart and beat perfectly interact, Creating unstoppable force, Staying true to righteous course. Through decades styles may change, But certain truths remain the same, The rhythm keeps us standing tall, Answering the eternal call. Never stopping never failing, Against the mainstream always sailing, Rudie carries the torch ahead, Following where tradition led. When they say it can't be done, That's when Rudie has most fun, Proving critics always wrong, Through the power of skanking song."
The Upshots,Take Your Best,2003,ska,"Take your best shot at the king of ska, We've come too far to fall, The rhythm keeps us standing tall, United we won't fall. The Upshots face the challenge strong, Knowing where we belong, On stages under bright lights, Turning wrongs to rights. When critics try to knock us down, We simply turn around, And hit them with another beat, That sweeps them off their feet. The upward trajectory clear, Our message ringing near, Ascending through the music scene, To places we've never been. Take your best shot we'll still stand, The rhythm at our command, Arrows bouncing off our sound, As new followers gather round. We've weathered every storm, Transforming to new form, Adaptability our strength, Going to any length. The Upshots always aim high, Reaching for the endless sky, Taking your best shot in stride, With nothing left to hide. So give us all you've got, Your most powerful shot, We'll absorb it turn it round, And create an even better sound."
Brass Tones,Bright Sounds,1997,ska,"Bright sounds filling up the air, Skanking people everywhere, Brass tones shining through the night, Everything is feeling right. The trumpets gleam with golden light, Breaking through the darkest night, Illuminating paths ahead, Where eager dancing feet may tread. Trombone glowing warm and deep, Awakening souls from slumber sleep, Creating space for hearts to grow, As rhythm continues to flow. Saxophone burning amber bright, Adding warmth to cool night, Emotional tones touch the soul, Making broken spirits whole. The Brass Tones bring their radiant sound, To anxious crowds gathered round, Seeking solace in the beat, Making their lives feel complete. Brightness piercing through the gloom, Filling every corner of the room, No shadows can remain for long, When we're dancing to this song. Polished metal catching light, Reflecting movements of the night, Visual harmony with sound, As bright tones spread around. When morning comes and night recedes, The brightness still meets our needs, Brass Tones shining through the day, Keeping darkness far away."
The Two Steppers,Forward Back,2000,ska,"One step forward two steps back, Following the rhythm track, Moving with a steady pace, Smile upon my sweating face. The Two Steppers know the dance, Taking every offered chance, To show the world how it's done, Having nothing but pure fun. Progress isn't always straight, Sometimes we must hesitate, Retreating to advance again, Following the rhythm's zen. The contradiction in the move, Stays within the skanking groove, Backward motion leading to, Places we never knew. The dance floor becomes a map, Of every forward backward gap, Navigating through the space, At our own determined pace. One step forward opens doors, Two steps back explores the floors, We've previously danced upon, Before the moment's gone. The Two Steppers understand, Movement across this rhythmic land, Isn't measured in linear ways, But in how the spirit plays. Forward back and back again, The pattern makes the dancer grin, Knowing that the path is clear, Even when it's nowhere near."
Skank Masters,Professor Skank,1993,ska,"Professor Skank will teach you well, The history that time will tell, Lessons learned through rhythm and beat, Education never felt so sweet. The Skank Masters hold their doctorate, In rhythms you cannot forget, Years of study and practice shown, In every beat they've grown. Advanced degrees in offbeat hits, Knowledge that precisely fits, The needs of students gathered round, Hungry for authentic sound. The lecture hall a dance floor now, As Professor Skank takes a bow, Before beginning today's class, That no student dares to pass. Textbooks filled with charts and notes, Analysis of famous quotes, From pioneering ska musicians past, Building legacies that last. Field research across the globe, Every rhythm they disrobe, Understanding cultural context deep, Secrets they no longer keep. Professor Skank asks questions hard, Keeping every student on guard, Testing knowledge with every beat, Accepting nothing like defeat. When graduation day arrives, Each student skillfully survives, Taking knowledge into the world, With skanking flags unfurled."
The Uptempos,Speed It Up,1998,ska,"Speed it up now don't be slow, Let the tempo freely flow, Faster moves and quicker beats, Taking rhythm to the streets. The Uptempos push the pace, Setting an exhilarating race, Against the laziness of time, Making every moment prime. Heartbeats quicken with each note, As we collectively devote, Our bodies to this frantic sound, Refusing to stay on the ground. Double-time the drummer plays, Creating new exciting ways, To experience the classic skank, For which we give our thanks. Breathlessly we try to keep, The pace that will not let us sleep, Adrenaline our only fuel, As we break every rule. Speed it up until we fly, Reaching for the distant sky, Limitations left behind, Freedom for the searching mind. The Uptempos never rest, Always putting to the test, How fast a body can still move, While staying in the groove. When others say slow down relax, We respond with quick attacks, Of rhythm flowing ever fast, Creating moments that will last."
Brass Attack,Sound The Alarm,2005,ska,"Sound the alarm the ska's on fire, Building the beat higher and higher, Trumpets blaze and trombones wail, The power of this sound won't fail. Brass Attack brings emergency beat, Rising temperatures create intense heat, Warning signals fill the air, Creating moments beyond compare. The evacuation onto the floor, As dancers demand more and more, Finding safety in the sound, As danger rhythmically surrounds. Sirens wailing through the night, Brass instruments shining bright, Red alerts flash everywhere, But panic transformed to dancing flair. Sound the alarm gather the crews, Emergency rhythm spreads the news, That something powerful this way comes, As everyone succumbs. The fire of passion burning strong, Throughout this powerful song, Containing blaze within the beat, Making the evacuation complete. When morning comes the embers glow, Reminder of the night's great show, Brass Attack's alarm still rings, In ears and hearts and other things. Memories of danger faced, As across the floor we raced, Responding to the brass alarm, That did much more good than harm."
Rude Squad,Unity Crew,1990,ska,"Unity crew coming through, Showing you what ska can do, Black and white and in between, The finest sound you've ever seen. Rude Squad marching side by side, Nothing left for us to hide, Different backgrounds different views, United by these rhythm blues. The checkerboard our battle flag, Spirits that will never lag, Moving forward as a team, Living out the unity dream. When society tries to divide, We stand together with pride, Showing how it should be done, Having nothing but pure fun. Music bridges every gap, No matter what's on any map, Cultural differences dissolved, When in this rhythm we're involved. Rude Squad breaks down every wall, As together we stand tall, Black and white keys on the same board, Creating harmony chord. When others choose to separate, We firmly choose to integrate, Knowing that we're stronger still, When united by the same will. The Unity Crew keeps marching on, Following where legends have gone, Creating paths for those behind, New unity trails to find."
The Skank Bank,Rhythm Savings,2002,ska,"Deposit rhythms in the skank bank, Collecting interest with each prank, Your investment in this sound, Will pay off when the beat comes round. The Skank Bank offers high returns, As the dance floor brightly burns, With movements that accumulate, Value that we appreciate. Saving up our energy, For when the horns sound urgently, Calling us to spend our moves, As the rhythm deeply grooves. Compound interest day by day, As more and more begin to play, This banking system built on sound, Where everyone's credit worthy found. Rhythm savings never lost, Regardless of the worldly cost, Financial security through beat, Making our lives feel complete. The Skank Bank's open all night long, Accepting deposits of dance and song, No minimum balance to maintain, Just passion that will never wane. When hard times come and spirits fall, The Skank Bank answers every call, Providing loans of pure delight, Getting through the darkest night. Asset management through dance, Taking every rhythmic chance, To build a more secure tomorrow, Free from unnecessary sorrow."
Checkered Past,Looking Back,1996,ska,"My checkered past is on display, The black and white of yesterday, Looking back but moving on, Dancing till the break of dawn. Checkered Past brings history alive, Ensuring traditions survive, While creating new pathways clear, For the future drawing near. The pattern of our lives revealed, Nothing left to be concealed, Transparency in every beat, Making the circle complete. Sometimes dark sometimes light, Shifting patterns day and night, The contrasts make it interesting, As memories come ring. Looking back provides the ground, For where new rhythms can be found, Building on what came before, Opening previously closed doors. The checkered flag waves in the air, Signaling finish with special flair, But really it's a brand new start, Racing toward an open heart. History repeats but always new, With different perspectives coming through, The same pattern different view, Creating something fresh and true. Our checkered past won't hold us back, It's just another rhythm track, To skank along with heads held high, Reaching for the endless sky."
Kingston Committee,Island Meeting,1988,ska,"The committee calls this meeting now, To discuss the way and how, Island rhythms should be played, Traditions must not be betrayed. Kingston Committee takes the floor, To preserve forevermore, The authentic island sound, Where ska's roots can still be found. Order order hear the call, As members gather in the hall, Official business to conduct, Musical laws to construct. Motions made and seconded quick, As rhythms find their perfect tick, Passing measures that protect, The sounds that we all respect. Documents officially sealed, As traditional forms revealed, Guidelines for the pure ska sound, Where truth and beauty can be found. Island meeting now convenes, Behind the bureaucratic scenes, Passion for the music burns, As the committee deeply yearns. To keep alive what matters most, From Jamaica's rhythmic coast, The heartbeat of a nation proud, Speaking beautiful and loud. When the meeting is adjourned, Lessons have been duly learned, Kingston Committee stands for all, Who answer to tradition's call."
The Uprights,Stand Tall,2004,ska,"Stand tall with pride and might, The beat will guide you through the night, Upright posture upright soul, Letting go of all control. The Uprights demonstrate the form, That helps us weather any storm, Backbone straight and head held high, Reaching for the distant sky. Standing up for what we love, Rhythm coming from above, Refusing to be beaten down, By the pressures all around. Vertical when others fall, Answering the righteous call, Standing ground when challenged hard, Always keeping up our guard. The upright bass keeps perfect time, As lyrics flow with every rhyme, Standing tall among the crowd, Making music true and proud. Posture reflects inner strength, Going to any length, To show the world our true belief, In music that brings sweet relief. Standing room only tonight, Everyone feeling upright, Bodies straight but spirits free, Dancing with pure energy. When morning comes we'll still stand tall, Having answered rhythm's call, The Uprights leading by example, Providing beats for all to sample."
Brass Monkey Business,Serious Fun,1999,ska,"This brass monkey business is serious fun, We won't stop till the day is done, Playing hard and standing strong, Join us as we move along. Mischievous but with purpose clear, Creating sounds both far and near, The business of joy our main trade, Investments that will never fade. Brass instruments the tools we use, To chase away the daily blues, Monkey energy wild and free, Creating pure cacophony. But serious skill lies underneath, The playful sounds that we bequeath, Years of practice discipline tight, Making everything feel right. The contradiction understood, By those who know just how we could, Be both professional and wild, Simultaneously reconciled. Brass Monkey Business knows the way, To make work feel like endless play, While maintaining standards high, Reaching for the distant sky. The corporate brass and primal joy, Combined in sounds we all employ, To break the mundane daily chains, While serious skill remains. So join our company today, Let rhythm lead you all the way, To where the serious and fun unite, Creating magic day and night."
Skanktified,Approved Beat,2001,ska,"This beat has been skanktified, Officially approved and verified, Quality control passed with ease, Now all we ask is dance with me please. Skanktified brings the certified sound, Guaranteed to move bodies around, Meeting regulations passing each test, Officially declared the very best. The rhythm inspectors have signed off, Giving approvals that won't wear off, Standards met and often exceeded, Everything the dance floor needed. The verification process complete, Nothing left but to move your feet, To this government approved groove, Designed to make your spirit move. Skanktified takes responsibility, For maintaining dance credibility, Each note checked for quality twice, Making sure everything feels nice. The rubber stamp of approval shows, This rhythm legitimately flows, Authenticated by the powers that be, Setting captive dancers free. So trust this beat without doubt, The certification leaves no room to pout, Skanktified delivers guaranteed, Everything your body could need. When others offer imitation sound, Remember which beat has been crowned, With official approval and perfect mark, Illuminating rhythms in the dark."
The Rudematics,Automatic Style,1992,ska,"Automatic style with rudeboy grace, Setting the perfect pace, Mechanically moving to the beat, Programming rhythms for your feet. The Rudematics operate with precision, Every move a perfect decision, Calculated steps that never fail, As across the floor we sail. The system runs without flaw, Following each rhythmic law, Designed for maximum efficiency, Creating dancehall sufficiency. Machine-like movements seem inhuman, But underneath emotions blooming, The paradox of measured passion, Setting the automatic fashion. Rudeboy programming deep inside, Nothing left for us to hide, The code compiled without error, Dancing without a hint of terror. Automatic doesn't mean mindless, In fact our purpose filled with kindness, The mechanism serves the heart, Technology and soul never apart. When the system starts to run, The Rudematics' work is never done, Until the dance floor overflows, With rhythmic energy that grows. The automation of our style, Makes the purists smile, Consistency in every beat, Making the package complete."
Two-Tone Army,March Along,1997,ska,"Two-tone army marching through, Black and white and tried and true, Join our ranks and march along, United by this skanking song. The soldiers dressed in sharpest suits, Polished shoes and porkpie boots, Moving forward as a force, Staying true to righteous course. The battlefield a dance floor now, As we show the people how, To fight division with unity, Creating perfect harmony. The trumpet signals our advance, As eager bodies start to dance, The drummer keeping perfect time, As lyrics flow with every rhyme. Two-tone army stands for all, Who answer to the rhythm call, Different colors side by side, Nothing left for us to hide. The struggle fought with horns not guns, Battles won when day is done, Victory measured in smiling faces, As the crowd moves through their paces. Our secret weapon is the beat, That gets all people on their feet, Regardless of which side they're on, Dancing until the war is gone. So join our two-tone army strong, March beside us move along, The only banner that we wave, Is harmony we truly crave."
The Upswing,Rising Tide,2006,ska,"Feel the upswing of the beat, Rising tide beneath your feet, Higher climbs this skanking sound, Lifting spirits all around. The pendulum has reached its peak, Momentum strong no longer weak, Economic growth of dancing joy, Resources we all employ. Indicators pointing high, Reaching for the endless sky, The recession of sadness gone, As rhythm carries everyone on. The Upswing brings prosperity, To this dancing community, Investments in the beat pay off, As worries melt and troubles soft. Rising tide lifts every boat, Keeping all of us afloat, On this sea of pulsing sound, Where financial peace is found. The graph of happiness ascends, As around each corner bends, New pathways toward elation, Through rhythmic celebration. Bears become the bulls tonight, As the dance floor feels just right, Market trends all positive, Nothing negative to give. So ride this upswing while it lasts, Forgetting troubles of the past, The forecast shows continued growth, As to this rhythm we're both loath."
Brass Tactics,Strategic Skank,1994,ska,"Strategic skank executed with care, Tactical moves beyond compare, Brass tactics planned to perfection, Guiding this rhythmic insurrection. The battlefield assessed with skill, As horns begin to fill, The air with sounds of coming storm, As dancers start to swarm. The general gives his orders clear, To soldiers skanking far and near, Formation tight precision moves, As the rhythm deeply grooves. Flanking maneuvers catch the crowd, As trumpets blast so loud, Surrounding them with walls of sound, Until surrender's found. Brass Tactics understand the art, Of capturing every heart, Through calculated strategic play, Winning hearts day by day. The enemy is apathy, The weapon pure energy, The mission critical indeed, For rhythm all souls need. Intelligence reports confirm, The target's reached the term, Where intervention will succeed, Filling universal need. The tactical approach ensures, That victory endures, Beyond this single battle won, Until all wars are done."
Rudie's Revenge,Getting Even,2003,ska,"Rudie's revenge is sweet tonight, Setting all the wrongs to right, Getting even with the beat, Making history in the street. The payback for years of pain, Comes through this sweet refrain, Justice served through rhythm pure, Creating wounds that time will cure. Revenge not taken out of hate, But to righteously create, A balance to the universe, Through poetry and verse. Rudie's anger channeled well, Into stories that we tell, Through trumpet trombone saxophone, Seeds of harmony are sown. Getting even doesn't mean, Creating new wounds fresh and clean, But healing those from yesterday, As we dance and play. The score is settled through the sound, As bodies move around, The dance floor seeking recompense, Through musical experience. The ledger balanced perfectly, Through rhythmic energy, Debts repaid with interest high, Reaching for the endless sky. When morning comes the slate wiped clean, No bitterness left to be seen, Rudie's revenge complete at last, Healing wounds from the past."
The Upsiders,Other Side,1991,ska,"From the other side of town, Where the skanking beats come down, We bring unity through sound, Spreading joy all around. The Upsiders cross the tracks, With rhythms on our backs, Showing that music knows no bounds, As throughout the city it sounds. The side you're from doesn't matter, When the beat begins to scatter, Preconceptions of your worth, Giving new ideas birth. Outsiders now welcomed in, As the dancing does begin, Barriers falling one by one, Until divisiveness is done. From the other side we came, Playing this rhythmic game, By different rules that liberate, Rather than just separate. The Upsiders understand well, The stories that walls tell, So we break them with our sound, Until no obstacles are found. When the music finally fades, And the night slowly cascades, Into morning fresh and new, Perspectives changed and true. The other side no longer far, As under the same stars, We realize we're all the same, Playing in this rhythmic game."
Skank Division,Units of Rhythm,1998,ska,"Skank division calculating moves, Finding rhythm in the grooves, Mathematical precision beats, Marching orders for your feet. Dividing time into perfect segments, Creating danceable increments, The science of subdivided sound, Where perfect harmony is found. Units of rhythm carefully arranged, So that souls can be exchanged, In this transaction of pure joy, That we collectively employ. The numerator carries the weight, Of melodies that captivate, While denominators ground the beat, Making equations complete. Skank Division shows their work, Leaving nothing in the murk, Each calculation clear to see, In this rhythmic odyssey. Division isn't separation here, But bringing everything near, Through shared understanding of, The beats that we all love. Factoring in every instrument, Until the sound is heaven-sent, Multiplying pleasure through the night, Until everything feels right. The mathematics of the skank, For which we give our thanks, Complex formula simple joy, That time can never destroy."
